City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,saint-pierre,-21.3393,55.4781,78.48,78,75,9.22,RE,1680117097
348,pingliang,35.5392,106.6861,46.71,59,78,3.76,CN,1680117019
349,la orilla,17.9833,-102.2333,86.41,41,100,11.1,MX,1680117097
350,le pradet,43.1066,6.0172,59.59,86,100,6.91,FR,1680117098
351,dingle,10.9995,122.6711,75.56,90,100,6.93,PH,1680117098
352,kamaishi,39.2667,141.8833,42.24,85,7,5.41,JP,1680117098
353,pochutla,15.7432,-96.4661,91.22,41,28,10.94,MX,1680117098
354,acapulco,16.8634,-99.8901,87.62,58,0,8.05,MX,1680117021
355,jiangyou,31.7667,104.7167,57.16,76,100,2.62,CN,1680117098
356,puri,19.8,85.85,81.12,84,6,14.41,IN,1680117099
357,bandar-e lengeh,26.5579,54.8807,72.63,73,0,14.97,IR,1680117099
358,moroni,-11.7022,43.2551,80.24,79,100,3.09,KM,1680117099
359,te anau,-45.4167,167.7167,33.53,96,36,1.45,NZ,1680117099
360,emba,48.8264,58.1442,49.84,70,0,23.49,KZ,1680117099
361,zwedru,6.0667,-8.1281,76.28,86,91,4.88,LR,1680117099
362,san rafael,-34.6177,-68.3301,64.15,30,44,9.57,AR,1680117100
